region,date,new_cases_7d_100k,new_tests_7d_100k,dose1_fraction,dose2_fraction
east of england,2021-01-21,419.94383644063123,4650.555670300151,0.09,0.009000000000000001
london,2021-01-21,522.6332987058688,4283.826870971669,0.06,0.006
south east,2021-01-21,387.62040583622144,4204.0453431685,0.091,0.009000000000000001
south west,2021-01-21,270.61018053242344,4245.633897369742,0.098,0.01
north east,2021-01-22,305.32509894413397,3702.029370686468,0.115,0.01
north west,2021-01-22,411.43159779414685,3922.0312330579377,0.11199999999999999,0.01
yorkshire and the humber,2021-01-22,249.15650048419334,3478.123710354796,0.10099999999999999,0.009000000000000001
east midlands,2021-01-22,375.12965453579955,3862.3817393476493,0.094,0.005
west midlands,2021-01-22,483.161800305593,4170.634594964608,0.105,0.008
east of england,2021-01-22,397.7984859700145,4596.771814052179,0.10099999999999999,0.009000000000000001
london,2021-01-22,493.5857731773705,4245.837372957342,0.065,0.006
south east,2021-01-22,366.93097138901834,4117.273399430308,0.099,0.009000000000000001
south west,2021-01-22,257.8806036806256,4183.906116881694,0.10800000000000001,0.01
north east,2021-01-23,294.8005218092834,3585.8095740692397,0.124,0.01
north west,2021-01-23,394.2954254320413,3928.338107305676,0.12,0.01
yorkshire and the humber,2021-01-23,242.56005896455494,3564.004654216534,0.111,0.009000000000000001
east midlands,2021-01-23,368.61590991429154,3892.758535693666,0.102,0.005
west midlands,2021-01-23,465.80430826434014,4261.449667401805,0.113,0.008
east of england,2021-01-23,385.88393463064574,4469.047182264733,0.11199999999999999,0.009000000000000001
london,2021-01-23,471.18085578120184,3996.095301654387,0.07,0.006
south east,2021-01-23,354.1940044036924,4048.380945974755,0.10800000000000001,0.009000000000000001
south west,2021-01-23,248.51120842797548,4228.886325589863,0.11900000000000001,0.01
north east,2021-01-24,286.29846127685965,3544.7599778422073,0.126,0.01
north west,2021-01-24,379.4340867618846,3835.069925935774,0.124,0.01
yorkshire and the humber,2021-01-24,236.70867006834678,3576.815924936493,0.113,0.009000000000000001
east midlands,2021-01-24,350.770317506795,3796.72732927372,0.106,0.005
west midlands,2021-01-24,427.3987506313155,4039.981550502634,0.115,0.008
east of england,2021-01-24,366.06376578076714,4306.781576607839,0.11800000000000001,0.009000000000000001
