region,date,new_cases_7d_100k,new_tests_7d_100k,dose1_fraction,dose2_fraction
alt pirineu-aran,2021-07-18,542.5331093835932,2996.566434294038,63.00518750836096,49.16539084679757
barcelona,2021-07-18,865.8660520629792,3788.953786030758,63.88270328778724,47.196697390945936
tarragona,2021-07-18,600.0009868437284,2808.886198825985,60.68842218490491,47.57886114944268
catalunya central,2021-07-18,372.32498163993785,2650.4908351503627,61.05996861235884,46.214031831698485
girona,2021-07-18,600.9842727556504,3096.4789214542916,58.910499876414704,45.027867614037895
lleida,2021-07-18,412.0159845666253,2828.992696706628,62.31225024114649,47.845941849249
metropolitana nord,2021-07-18,619.0232584369235,3790.3216060969817,62.44088715589678,47.46111845126362
metropolitana sud,2021-07-18,660.4611190267226,3429.5390195876735,61.9038760232843,47.094022144744066
terres de lebre,2021-07-18,364.21837266778647,2280.32372452875,63.95369223547509,51.64718324595485
alt pirineu-aran,2021-07-19,515.7780519345392,2755.770917252553,63.12112609064019,49.29619334988183
barcelona,2021-07-19,829.4315329248179,3739.587079386506,64.15268484613354,47.94664616413013
tarragona,2021-07-19,596.5470337944635,2801.4848708632744,60.73496831409262,48.47952052552718
catalunya central,2021-07-19,374.98173482187417,2711.216622166051,61.346518419839114,46.55238832622652
girona,2021-07-19,587.7554241180478,3076.5196059659784,59.036754151131476,45.90514915526839
lleida,2021-07-19,412.0159845666253,2875.2928207248174,62.40099214551468,47.92117955077856
metropolitana nord,2021-07-19,614.4916094000499,3782.919912670088,62.638618108872365,48.08754340312744
metropolitana sud,2021-07-19,656.1567772590681,3434.645865752687,62.15746741284984,47.76455104621039
terres de lebre,2021-07-19,365.3494856263821,2360.6327445890383,64.03739459441117,52.11829179320993
alt pirineu-aran,2021-07-20,484.5638182439764,2730.502251884002,63.26976529869049,49.80751222557486
barcelona,2021-07-20,787.1509564208902,3651.1876058859757,64.60424848932563,48.38309272968952
tarragona,2021-07-20,581.7443778690425,2746.715043939217,61.01440956317362,49.48840376382198
catalunya central,2021-07-20,371.75567738666575,2741.769283758319,61.71694572063481,47.06001795206078
girona,2021-07-20,557.2362382260346,3030.334678266278,59.470056965278914,46.15104328038313
lleida,2021-07-20,421.93743971338023,2895.6869229709246,62.59198015708971,48.63028799779523
metropolitana nord,2021-07-20,603.7667066794493,3809.5055870197457,63.075519427682934,48.54106076840655
metropolitana sud,2021-07-20,644.4110310795362,3350.309949084744,62.617010612755884,48.1640523262049
terres de lebre,2021-07-20,355.1694689990216,2457.908459028261,64.23138046681032,52.79130400357431
alt pirineu-aran,2021-07-21,502.40052321001235,2995.080042213535,63.500156071168455,50.44220164394964
barcelona,2021-07-21,739.8510377342335,3587.7667411300845,64.83507917864667,49.099913844467714
tarragona,2021-07-21,584.7049090541267,2768.5900799178944,61.44779843387901,50.01949016363514
catalunya central,2021-07-21,371.18637313339366,3027.370250816477,62.038982159902375,47.77297664524185
girona,2021-07-21,540.5261136311682,3075.707308242617,59.792771246517276,46.7681574650741
lleida,2021-07-21,415.87432823480776,3097.147581645308,63.11891966377291,49.128014330990766
metropolitana nord,2021-07-21,582.0651429584216,3778.2372086653186,63.24641294802903,49.22886438889202
metropolitana sud,2021-07-21,628.4338980775642,3392.1860876378573,62.82551584617887,48.70107367792872
terres de lebre,2021-07-21,330.85054038921595,2539.9141485264427,64.47287308347049,53.32349265059355
alt pirineu-aran,2021-07-22,472.67268159995245,2946.029103556936,63.801893663510555,50.79744935118986
barcelona,2021-07-22,691.1338930195122,3518.499819008426,65.11161540737277,49.640998931765886
tarragona,2021-07-22,574.8364717705127,2845.2349428206294,62.24516816639502,50.30830642813557
catalunya central,2021-07-22,362.07750508104044,3200.2489757267645,62.38436007355411,48.88293017103798
girona,2021-07-22,515.3448842069595,3145.2167848559857,60.4159196428675,47.11233961471559
lleida,2021-07-22,405.67727711175417,3369.1608102521704,63.23659914565247,50.11988424968995
metropolitana nord,2021-07-22,565.8519097376075,3792.3356723355914,63.668964044889506,49.76188701894028
metropolitana sud,2021-07-22,602.8267123072804,3461.931015262904,63.122807247927895,49.233352958213594
terres de lebre,2021-07-22,322.3671931997489,2594.2075705390316,65.01524174711707,53.80704344039317
alt pirineu-aran,2021-07-23,432.5400954263716,3148.178426505344,64.06349866967909,51.45592104285268
barcelona,2021-07-23,652.2782794167406,3490.9820136301714,65.49922672604843,50.32870786188424
tarragona,2021-07-23,554.2772274296503,2968.0969870016233,62.516879139603844,50.83478755721637
catalunya central,2021-07-23,359.2309838146801,3371.230019792811,62.79596704866982,49.72777768289374
girona,2021-07-23,490.74386744229497,3291.4303750610675,60.82961126912237,47.737344691576354
lleida,2021-07-23,391.0706903679206,3519.9118092875847,63.568416701116156,50.83229984842221
metropolitana nord,2021-07-23,545.5601923836072,3793.94692532648,63.9690095627865,50.488864227766726
metropolitana sud,2021-07-23,580.7943188525062,3536.8557439981787,63.59402323906826,49.819545943011974
terres de lebre,2021-07-23,303.70382938292136,2738.424472759972,65.69504063523304,54.381083266880445
alt pirineu-aran,2021-07-24,411.7306062993297,3185.3382285179187,64.07836259048412,51.4663257874162
barcelona,2021-07-24,623.992809939951,3450.7682250838375,65.71033435314556,50.5955006616674
tarragona,2021-07-24,523.849545805174,2925.991654591537,62.532010743438725,50.942353523607764
catalunya central,2021-07-24,347.6551306648145,3410.7017813530088,62.82803785493748,49.7685778210449
girona,2021-07-24,471.9449772730701,3291.0822474653414,60.86105879526964,48.0757247146224
lleida,2021-07-24,381.7004271737633,3524.0457489320656,63.57392862064214,50.83808736392449
metropolitana nord,2021-07-24,532.2170035528128,3817.360445350327,64.153800140179,50.72158958163816
metropolitana sud,2021-07-24,561.3883034254535,3521.3163406674944,63.865342680320914,50.01440860167986
terres de lebre,2021-07-24,300.8760469864323,2745.211150511546,65.74537516189054,54.39013217054921
alt pirineu-aran,2021-07-25,413.21699837983266,3235.8755592550206,64.08133537464512,51.475244139899225
barcelona,2021-07-25,604.9193096455813,3420.5931209029623,65.76218120533893,51.045351823408915
tarragona,2021-07-25,499.34292655086597,2877.9652598112825,62.53562917044272,50.951235117163016
catalunya central,2021-07-25,336.8383498526451,3422.4674025872982,62.847583967633156,49.80558259750759
girona,2021-07-25,454.6546400186597,3347.943088100651,60.87533202669443,48.082455181473115
lleida,2021-07-25,375.0861237425933,3492.076615681411,63.574755408571036,50.84470166735565
metropolitana nord,2021-07-25,518.5213531302618,3813.18125790521,64.26447307999067,50.86725692234566
